2theta,intensity
5,325
5.02,362.5
5.04,290
5.06,355
5.08,350
5.1,332.5
5.12,385
5.14,335
5.16,342.5
5.18,317.5
5.2,352.5
5.22,320
5.24,265
5.26,310
5.28,290
5.3,325
5.32,312.5
5.34,337.5
5.36,330
5.38,315
5.4,337.5
5.42,322.5
5.44,352.5
5.46,345
5.48,320
5.5,297.5
5.52,325
5.54,390
5.56,312.5
5.58,297.5
5.6,307.5
5.62,300
5.64,310
5.66,302.5
5.68,292.5
5.7,310
5.72,372.5
5.74,265
5.76,340
5.78,252.5
5.8,292.5
5.82,342.5
5.84,295
5.86,300
5.88,325
5.9,282.5
5.92,300
5.94,317.5
5.96,290
5.98,280
6,310
6.02,300
6.04,295
6.06,310
6.08,317.5
6.1,272.5
6.12,310
6.14,295
6.16,242.5
6.18,290
6.2,262.5
6.22,310
6.24,267.5
6.26,297.5
6.28,290
6.3,305
6.32,305
6.34,290
6.36,265
6.38,260
6.4,262.5
6.42,310
6.44,222.5
6.46,285
6.48,290
6.5,262.5
6.52,287.5
6.54,282.5
6.56,285
6.58,230
6.6,257.5
6.62,252.5
6.64,262.5
6.66,250
6.68,292.5
6.7,250
6.72,310
6.74,302.5
6.76,260
6.78,262.5
6.8,250
6.82,252.5
6.84,325
6.86,237.5
6.88,252.5
6.9,272.5
6.92,297.5
6.94,270
6.96,220
6.98,250
7,282.5
7.02,262.5
7.04,290
7.06,260
7.08,302.5
7.1,232.5
7.12,285
7.14,245
7.16,255
7.18,262.5
7.2,245
7.22,225
7.24,257.5
7.26,252.5
7.28,275
7.3,290
7.32,300
7.34,202.5
7.36,310
7.38,270
7.4,295
7.42,237.5
7.44,295
7.46,237.5
7.48,207.5
7.5,265
7.52,237.5
7.54,282.5
7.56,232.5
7.58,262.5
7.6,250
7.62,232.5
7.64,270
7.66,230
7.68,302.5
7.7,255
7.72,267.5
7.74,235
7.76,247.5
7.78,262.5
7.8,255
7.82,270
7.84,295
7.86,200
7.88,247.5
7.9,227.5
7.92,250
7.94,212.5
7.96,255
7.98,202.5
8,227.5
8.02,270
8.04,242.5
8.06,225
8.08,260
8.1,235
8.12,245
8.14,190
8.16,297.5
8.18,205
8.2,270
8.22,252.5
8.24,257.5
8.26,257.5
8.28,207.5
8.3,227.5
8.32,207.5
8.34,210
8.36,260
8.38,220
8.4,237.5
8.42,235
8.44,267.5
8.46,245
8.48,210
8.5,212.5
8.52,192.5
8.54,230
8.56,210
8.58,217.5
8.6,227.5
8.62,217.5
8.64,235
8.66,227.5
8.68,232.5
8.7,202.5
8.72,267.5
8.74,222.5
8.76,222.5
8.78,265
8.8,215
8.82,232.5
8.84,205
8.86,240
8.88,237.5
8.9,235
8.92,267.5
8.94,197.5
8.96,230
8.98,195
9,182.5
9.02,210
9.04,227.5
9.06,215
9.08,195
9.1,197.5
9.12,182.5
9.14,222.5
9.16,232.5
9.18,225
9.2,232.5
9.22,187.5
9.24,197.5
9.26,192.5
9.28,217.5
9.3,192.5
9.32,207.5
9.34,207.5
9.36,200
9.38,157.5
9.4,222.5
9.42,187.5
9.44,197.5
9.46,200
9.48,185
9.5,247.5
9.52,195
9.54,185
9.56,190
9.58,150
9.6,252.5
9.62,195
9.64,212.5
9.66,205
9.68,227.5
9.7,230
9.72,232.5
9.74,175
9.76,187.5
9.78,167.5
9.8,245
9.82,242.5
9.84,185
9.86,215
9.88,190
9.9,170
9.92,182.5
9.94,192.5
9.96,202.5
9.98,190
10,167.5
10.02,175
10.04,185
10.06,167.5
10.08,152.5
10.1,207.5
10.12,162.5
10.14,152.5
10.16,217.5
10.18,192.5
10.2,215
10.22,200
10.24,187.5
10.26,157.5
10.28,167.5
10.3,220
10.32,212.5
10.34,187.5
10.36,170
10.38,190
10.4,220
10.42,210
10.44,232.5
10.46,170
10.48,197.5
10.5,242.5
10.52,230
10.54,245
10.56,175
10.58,195
10.6,262.5
10.62,240
10.64,260
10.66,242.5
10.68,242.5
10.7,197.5
10.72,240
10.74,222.5
10.76,192.5
10.78,185
10.8,177.5
10.82,197.5
10.84,170
10.86,195
10.88,157.5
10.9,190
10.92,165
10.94,177.5
10.96,152.5
10.98,175
11,160
11.02,160
11.04,192.5
11.06,155
11.08,192.5
11.1,180
11.12,185
11.14,177.5
11.16,190
11.18,135
11.2,177.5
11.22,192.5
11.24,170
11.26,185
11.28,165
11.3,157.5
11.32,162.5
11.34,167.5
11.36,187.5
11.38,177.5
11.4,132.5
11.42,162.5
11.44,147.5
11.46,140
11.48,170
11.5,165
11.52,157.5
11.54,147.5
11.56,180
11.58,152.5
11.6,150
11.62,190
11.64,190
11.66,177.5
11.68,155
11.7,152.5
11.72,192.5
11.74,152.5
11.76,177.5
11.78,142.5
11.8,177.5
11.82,187.5
11.84,182.5
11.86,125
11.88,175
11.9,165
11.92,185
11.94,157.5
11.96,190
11.98,130
12,177.5
12.02,140
12.04,185
12.06,142.5
12.08,150
12.1,177.5
12.12,165
12.14,160
12.16,197.5
12.18,167.5
12.2,150
12.22,170
12.24,152.5
12.26,167.5
12.28,165
12.3,142.5
12.32,172.5
12.34,190
12.36,170
12.38,182.5
12.4,152.5
12.42,110
12.44,205
12.46,175
12.48,177.5
12.5,147.5
12.52,157.5
12.54,135
12.56,147.5
12.58,172.5
12.6,180
12.62,170
12.64,152.5
12.66,190
12.68,190
12.7,140
12.72,157.5
12.74,160
12.76,180
12.78,140
12.8,180
12.82,132.5
12.84,182.5
12.86,177.5
12.88,142.5
12.9,200
12.92,175
12.94,200
12.96,137.5
12.98,165
13,180
13.02,147.5
13.04,150
13.06,167.5
13.08,167.5
13.1,160
13.12,197.5
13.14,145
13.16,167.5
13.18,165
13.2,127.5
13.22,120
13.24,127.5
13.26,152.5
13.28,157.5
13.3,155
13.32,145
13.34,142.5
13.36,160
13.38,147.5
13.4,170
13.42,127.5
13.44,190
13.46,160
13.48,150
13.5,135
13.52,182.5
13.54,140
13.56,172.5
13.58,140
13.6,162.5
13.62,132.5
13.64,130
13.66,135
13.68,152.5
13.7,137.5
13.72,142.5
13.74,127.5
13.76,117.5
13.78,177.5
13.8,122.5
13.82,160
13.84,127.5
13.86,130
13.88,172.5
13.9,102.5
13.92,135
13.94,147.5
13.96,152.5
13.98,132.5
14,180
14.02,215
14.04,150
14.06,130
14.08,192.5
14.1,175
14.12,152.5
14.14,135
14.16,140
14.18,165
14.2,177.5
14.22,155
14.24,117.5
14.26,135
14.28,150
14.3,175
14.32,142.5
14.34,145
14.36,117.5
14.38,150
14.4,165
14.42,107.5
14.44,165
14.46,162.5
14.48,182.5
14.5,115
14.52,192.5
14.54,165
14.56,135
14.58,167.5
14.6,175
14.62,145
14.64,195
14.66,100
14.68,122.5
14.7,130
14.72,117.5
14.74,130
14.76,157.5
14.78,147.5
14.8,157.5
14.82,147.5
14.84,167.5
14.86,162.5
14.88,142.5
14.9,180
14.92,130
14.94,155
14.96,165
14.98,115
15,155
15.02,145
15.04,147.5
15.06,170
15.08,137.5
15.1,150
15.12,177.5
15.14,157.5
15.16,147.5
15.18,127.5
15.2,145
15.22,145
15.24,135
15.26,122.5
15.28,150
15.3,132.5
15.32,162.5
15.34,140
15.36,170
15.38,122.5
15.4,135
15.42,125
15.44,157.5
15.46,135
15.48,120
15.5,150
15.52,120
15.54,160
15.56,172.5
15.58,147.5
15.6,132.5
15.62,110
15.64,147.5
15.66,185
15.68,130
15.7,142.5
15.72,152.5
15.74,170
15.76,135
15.78,167.5
15.8,145
15.82,165
15.84,147.5
15.86,175
15.88,117.5
15.9,130
15.92,147.5
15.94,147.5
15.96,152.5
15.98,152.5
16,182.5
16.02,145
16.04,172.5
16.06,160
16.08,132.5
16.1,127.5
16.12,145
16.14,150
16.16,167.5
16.18,165
16.2,142.5
16.22,147.5
16.24,110
16.26,147.5
16.28,190
16.3,160
16.32,140
16.34,120
16.36,147.5
16.38,172.5
16.4,155
16.42,132.5
16.44,130
16.46,147.5
16.48,127.5
16.5,162.5
16.52,172.5
16.54,125
16.56,162.5
16.58,160
16.6,145
16.62,132.5
16.64,162.5
16.66,137.5
16.68,190
16.7,165
16.72,137.5
16.74,127.5
16.76,135
16.78,140
16.8,150
16.82,165
16.84,167.5
16.86,147.5
16.88,107.5
16.9,150
16.92,162.5
16.94,132.5
16.96,155
16.98,172.5
17,175
17.02,145
17.04,162.5
17.06,157.5
17.08,172.5
17.1,187.5
17.12,162.5
17.14,147.5
17.16,125
17.18,160
17.2,140
17.22,150
17.24,137.5
17.26,177.5
17.28,150
17.3,140
17.32,135
17.34,175
17.36,147.5
17.38,155
17.4,172.5
17.42,152.5
17.44,175
17.46,180
17.48,190
17.5,132.5
17.52,190
17.54,157.5
17.56,170
17.58,180
17.6,155
17.62,150
17.64,157.5
17.66,152.5
17.68,157.5
17.7,185
17.72,177.5
17.74,170
17.76,142.5
17.78,187.5
17.8,145
17.82,172.5
17.84,222.5
17.86,207.5
17.88,172.5
17.9,165
17.92,170
17.94,175
17.96,205
17.98,172.5
18,197.5
18.02,172.5
18.04,210
18.06,160
18.08,202.5
18.1,185
18.12,217.5
18.14,207.5
18.16,255
18.18,287.5
18.2,280
18.22,335
18.24,365
18.26,365
18.28,415
18.3,507.5
18.32,570
18.34,650
18.36,697.5
18.38,912.5
18.4,1007.5
18.42,1377.5
18.44,1602.5
18.46,2022.5
18.48,2722.5
18.5,3670
18.52,4560
18.54,6082.5
18.56,7535
18.58,9005
18.6,10710
18.62,12077.5
18.64,13340
18.66,13505
18.68,13382.5
18.7,12292.5
18.72,11035
18.74,9410
18.76,7462.5
18.78,5492.5
18.8,3995
18.82,2730
18.84,2092.5
18.86,1485
18.88,1057.5
18.9,875
18.92,757.5
18.94,672.5
18.96,695
18.98,617.5
19,595
19.02,510
19.04,495
19.06,412.5
19.08,497.5
19.1,352.5
19.12,450
19.14,325
19.16,402.5
19.18,360
19.2,322.5
19.22,327.5
19.24,350
19.26,315
19.28,262.5
19.3,225
19.32,210
19.34,317.5
19.36,245
19.38,222.5
19.4,262.5
19.42,242.5
19.44,192.5
19.46,242.5
19.48,222.5
19.5,235
19.52,235
19.54,202.5
19.56,202.5
19.58,165
19.6,187.5
19.62,180
19.64,200
19.66,195
19.68,162.5
19.7,197.5
19.72,210
19.74,175
19.76,167.5
19.78,167.5
19.8,140
19.82,217.5
19.84,182.5
19.86,187.5
19.88,180
19.9,172.5
19.92,147.5
19.94,175
19.96,172.5
19.98,202.5
20,177.5
20.02,172.5
20.04,160
20.06,212.5
20.08,182.5
20.1,137.5
20.12,147.5
20.14,140
20.16,150
20.18,127.5
20.2,142.5
20.22,162.5
20.24,187.5
20.26,165
20.28,152.5
20.3,160
20.32,152.5
20.34,177.5
20.36,172.5
20.38,150
20.4,155
20.42,157.5
20.44,137.5
20.46,142.5
20.48,137.5
20.5,160
20.52,152.5
20.54,155
20.56,175
20.58,150
20.6,142.5
20.62,155
20.64,147.5
20.66,177.5
20.68,150
20.7,155
20.72,172.5
20.74,142.5
20.76,142.5
20.78,142.5
20.8,115
20.82,127.5
20.84,125
20.86,155
20.88,150
20.9,147.5
20.92,165
20.94,155
20.96,147.5
20.98,175
21,137.5
21.02,150
21.04,162.5
21.06,187.5
21.08,172.5
21.1,130
21.12,135
21.14,187.5
21.16,185
21.18,165
21.2,142.5
21.22,207.5
21.24,205
21.26,267.5
21.28,227.5
21.3,260
21.32,262.5
21.34,235
21.36,257.5
21.38,210
21.4,215
21.42,210
21.44,202.5
21.46,160
21.48,175
21.5,165
21.52,167.5
21.54,187.5
21.56,102.5
21.58,107.5
21.6,142.5
21.62,165
21.64,142.5
21.66,150
21.68,175
21.7,100
21.72,130
21.74,122.5
21.76,155
21.78,137.5
21.8,110
21.82,117.5
21.84,125
21.86,160
21.88,115
21.9,110
21.92,130
21.94,115
21.96,127.5
21.98,120
22,135
22.02,127.5
22.04,127.5
22.06,120
22.08,115
22.1,120
22.12,130
22.14,150
22.16,125
22.18,110
22.2,137.5
22.22,132.5
22.24,165
22.26,115
22.28,127.5
22.3,90
22.32,112.5
22.34,145
22.36,117.5
22.38,120
22.4,147.5
22.42,87.5
22.44,120
22.46,132.5
22.48,112.5
22.5,137.5
22.52,112.5
22.54,85
22.56,142.5
22.58,110
22.6,112.5
22.62,112.5
22.64,105
22.66,92.5
22.68,95
22.7,127.5
22.72,130
22.74,130
22.76,135
22.78,130
22.8,112.5
22.82,112.5
22.84,107.5
22.86,132.5
22.88,77.5
22.9,100
22.92,122.5
22.94,137.5
22.96,105
22.98,122.5
23,102.5
23.02,90
23.04,122.5
23.06,137.5
23.08,97.5
23.1,100
23.12,125
23.14,117.5
23.16,132.5
23.18,95
23.2,117.5
23.22,80
23.24,140
23.26,122.5
23.28,90
23.3,132.5
23.32,160
23.34,130
23.36,117.5
23.38,175
23.4,135
23.42,125
23.44,115
23.46,160
23.48,170
23.5,142.5
23.52,147.5
23.54,152.5
23.56,147.5
23.58,110
23.6,152.5
23.62,130
23.64,105
23.66,127.5
23.68,132.5
23.7,105
23.72,122.5
23.74,145
23.76,125
23.78,100
23.8,120
23.82,127.5
23.84,112.5
23.86,110
23.88,115
23.9,135
23.92,130
23.94,135
23.96,105
23.98,122.5
24,100
24.02,140
24.04,135
24.06,127.5
24.08,120
24.1,125
24.12,110
24.14,150
24.16,92.5
24.18,137.5
24.2,125
24.22,140
24.24,115
24.26,102.5
24.28,135
24.3,137.5
24.32,92.5
24.34,140
24.36,92.5
24.38,122.5
24.4,127.5
24.42,100
24.44,100
24.46,92.5
24.48,117.5
24.5,115
24.52,112.5
24.54,67.5
24.56,112.5
24.58,137.5
24.6,120
24.62,127.5
24.64,97.5
24.66,85
24.68,127.5
24.7,120
24.72,102.5
24.74,140
24.76,145
24.78,117.5
24.8,130
24.82,110
24.84,117.5
24.86,150
24.88,140
24.9,120
24.92,132.5
24.94,82.5
24.96,120
24.98,90
25,100
25.02,90
25.04,120
25.06,107.5
25.08,105
25.1,102.5
25.12,125
25.14,117.5
25.16,92.5
25.18,82.5
25.2,85
25.22,85
25.24,92.5
25.26,92.5
25.28,135
25.3,130
25.32,87.5
25.34,115
25.36,122.5
25.38,137.5
25.4,105
25.42,130
25.44,87.5
25.46,117.5
25.48,100
25.5,70
25.52,120
25.54,120
25.56,87.5
25.58,80
25.6,102.5
25.62,97.5
25.64,115
25.66,97.5
25.68,90
25.7,97.5
25.72,135
25.74,102.5
25.76,105
25.78,97.5
25.8,102.5
25.82,102.5
25.84,132.5
25.86,102.5
25.88,110
25.9,72.5
25.92,125
25.94,90
25.96,97.5
25.98,147.5
26,125
26.02,102.5
26.04,132.5
26.06,137.5
26.08,110
26.1,117.5
26.12,130
26.14,125
26.16,160
26.18,147.5
26.2,147.5
26.22,117.5
26.24,115
26.26,122.5
26.28,130
26.3,147.5
26.32,127.5
26.34,110
26.36,97.5
26.38,117.5
26.4,102.5
26.42,132.5
26.44,117.5
26.46,140
26.48,102.5
26.5,85
26.52,115
26.54,100
26.56,85
26.58,80
26.6,97.5
26.62,85
26.64,95
26.66,77.5
26.68,82.5
26.7,100
26.72,85
26.74,112.5
26.76,97.5
26.78,107.5
26.8,92.5
26.82,102.5
26.84,102.5
26.86,100
26.88,102.5
26.9,87.5
26.92,90
26.94,47.5
26.96,60
26.98,92.5
27,92.5
27.02,105
27.04,85
27.06,92.5
27.08,67.5
27.1,100
27.12,80
27.14,82.5
27.16,95
27.18,82.5
27.2,100
27.22,80
27.24,110
27.26,85
27.28,80
27.3,80
27.32,107.5
27.34,77.5
27.36,72.5
27.38,90
27.4,122.5
27.42,117.5
27.44,95
27.46,80
27.48,75
27.5,87.5
27.52,67.5
27.54,72.5
27.56,92.5
27.58,80
27.6,75
27.62,110
27.64,87.5
27.66,75
27.68,77.5
27.7,110
27.72,67.5
27.74,85
27.76,72.5
27.78,87.5
27.8,87.5
27.82,80
27.84,87.5
27.86,85
27.88,85
27.9,72.5
27.92,85
27.94,90
27.96,100
27.98,87.5
28,82.5
28.02,72.5
28.04,102.5
28.06,70
28.08,97.5
28.1,95
28.12,82.5
28.14,80
28.16,70
28.18,75
28.2,85
28.22,90
28.24,87.5
28.26,87.5
28.28,97.5
28.3,85
28.32,67.5
28.34,45
28.36,85
28.38,85
28.4,92.5
28.42,92.5
28.44,87.5
28.46,97.5
28.48,67.5
28.5,72.5
28.52,77.5
28.54,105
28.56,52.5
28.58,62.5
28.6,97.5
28.62,105
28.64,60
28.66,80
28.68,82.5
28.7,52.5
28.72,92.5
28.74,77.5
28.76,67.5
28.78,82.5
28.8,95
28.82,70
28.84,62.5
28.86,80
28.88,110
28.9,72.5
28.92,65
28.94,72.5
28.96,105
28.98,67.5
29,55
29.02,70
29.04,65
29.06,77.5
29.08,90
29.1,75
29.12,85
29.14,110
29.16,75
29.18,85
29.2,75
29.22,57.5
29.24,95
29.26,75
29.28,80
29.3,95
29.32,80
29.34,52.5
29.36,87.5
29.38,97.5
29.4,100
29.42,95
29.44,97.5
29.46,75
29.48,92.5
29.5,95
29.52,102.5
29.54,110
29.56,102.5
29.58,100
29.6,105
29.62,135
29.64,102.5
29.66,92.5
29.68,87.5
29.7,75
29.72,95
29.74,77.5
29.76,80
29.78,97.5
29.8,87.5
29.82,87.5
29.84,97.5
29.86,100
29.88,77.5
29.9,85
29.92,80
29.94,95
29.96,77.5
29.98,100
30,127.5
30.02,105
30.04,80
30.06,92.5
30.08,97.5
30.1,82.5
30.12,100
30.14,110
30.16,105
30.18,122.5
30.2,107.5
30.22,115
30.24,102.5
30.26,147.5
30.28,137.5
30.3,155
30.32,145
30.34,147.5
30.36,142.5
30.38,172.5
30.4,112.5
30.42,137.5
30.44,130
30.46,197.5
30.48,165
30.5,167.5
30.52,117.5
30.54,165
30.56,117.5
30.58,92.5
30.6,130
30.62,82.5
30.64,115
30.66,102.5
30.68,90
30.7,100
30.72,77.5
30.74,85
30.76,75
30.78,60
30.8,90
30.82,77.5
30.84,77.5
30.86,77.5
30.88,45
30.9,100
30.92,90
30.94,90
30.96,102.5
30.98,77.5
31,80
31.02,95
31.04,57.5
31.06,100
31.08,62.5
31.1,62.5
31.12,62.5
31.14,85
31.16,90
31.18,90
31.2,87.5
31.22,70
31.24,77.5
31.26,92.5
31.28,112.5
31.3,72.5
31.32,65
31.34,80
31.36,90
31.38,60
31.4,80
31.42,70
31.44,72.5
31.46,110
31.48,75
31.5,90
31.52,70
31.54,75
31.56,92.5
31.58,82.5
31.6,120
31.62,117.5
31.64,107.5
31.66,112.5
31.68,102.5
31.7,77.5
31.72,105
31.74,92.5
31.76,130
31.78,137.5
31.8,170
31.82,150
31.84,167.5
31.86,162.5
31.88,187.5
31.9,152.5
